Feature,Importance
cat__County_St Lawrence,4.098838719706375e-08
cat__Division_Geneva,4.021446705762902e-08
cat__Substation_GROOMS RD 345,4.0207513977940214e-08
cat__County_Jefferson,3.9622950367964315e-08
cat__City_JOHNSTOWN,3.9544498912828355e-08
cat__City_Hilton,3.914822217896622e-08
cat__County_Clinton,3.789749573473698e-08
cat__County_Broome,3.787577193668231e-08
cat__Connection_Date_2021-01-07 00:00:00,3.6922106329012715e-08
cat__Division_Sodus,3.5754039933178825e-08
cat__Circuit_ID_4026,3.547735831468736e-08
cat__Connection_Date_2022-09-26 00:00:00,3.484015136858887e-08
cat__Connection_Date_2021-12-22 00:00:00,3.4533584607514175e-08
cat__Connection_Date_2020-02-27 00:00:00,3.423698362180681e-08
"cat__Developer_129 Cream Street, LLC",3.417708570691923e-08
cat__Division_Liberty,3.350546163150554e-08
cat__County_Schenectady,3.348090628300098e-08
cat__Developer_103 Sparling Road LLC,3.307497638292983e-08
cat__City_Palmyra,3.306851610086235e-08
cat__Circuit_ID_8ED3H8,3.2744060550354375e-08
cat__Division_Elmira,3.160107501194056e-08
cat__Developer_Benjamin Rubin (Ameresco Inc.),3.0556229667960245e-08
cat__Substation_0230RO5163-1102 Atlantic AVE,3.0539576760431456e-08
cat__City_STOCKHOLM,2.993756723334967e-08
cat__Circuit_ID_2307211,2.9371492830463365e-08
cat__Developer_Theresa Baker (General Electric International Inc),2.9143147800610783e-08
cat__Division_Canandaigua,2.8738840164087397e-08
cat__Division_020 - Oneida,2.8499328269011872e-08
cat__Substation_LEHIGH 669,2.8325633609464386e-08
cat__Division_Kingston,2.8204680317185666e-08
cat__Circuit_ID_36_13_81756,2.8166875057767326e-08
cat__Connection_Date_2023-10-20 00:00:00,2.7432811297821447e-08
cat__Circuit_ID_36_25_97654,2.7211818499578448e-08
cat__Division_CENY-SI,2.682057717866596e-08
cat__Connection_Date_2023-06-23 00:00:00,2.6667999925468278e-08
cat__Connection_Date_2020-12-19 00:00:00,2.6470334423943195e-08
cat__Developer_East Light Partners PBC,2.6439067877983853e-08
cat__Substation_FRESH_KILLS,2.6411385102001436e-08
cat__Substation_Jamaica,2.501960781067841e-08
cat__City_VERNON,2.478049747568619e-08
cat__Circuit_ID_36_35_35852,2.4725801187132043e-08
cat__Division_Oneonta,2.4616616906813424e-08
cat__City_CAMDEN,2.327117171547981e-08
cat__Circuit_ID_3014,2.3162989657328563e-08
cat__Connection_Date_2021-09-03 00:00:00,2.286774432740145e-08
cat__Substation_NYS-DELHI 211,2.2547846791978008e-08
cat__Circuit_ID_63-3-13,2.1689543256973568e-08
cat__County_Chemung,2.1209152551271188e-08
cat__Substation_SUBT 27,2.108408946877729e-08
cat__City_Rock Tvrn,2.0929222131437953e-08
cat__Circuit_ID_36_35_02051,2.0002623643124766e-08
cat__Connection_Date_2019-09-20 00:00:00,1.964410292129408e-08
"cat__Developer_Michael Prinzi (Solar Liberty Energy Systems, Inc.",1.9352324438675138e-08
"cat__Developer_Green Street Power Partners, LLC",1.934623029959755e-08
cat__Developer_Colin Walker (SSC Oswego LLC),1.9332592125586204e-08
cat__Division_Auburn,1.800871022999953e-08
cat__Developer_NextAmp Inc,1.7694535105846698e-08
cat__County_Cattaraugus,1.749412847595198e-08
cat__Circuit_ID_36_11_29451,1.708079662251274e-08
cat__Connection_Date_2021-12-30 00:00:00,1.5789721647533185e-08
cat__Division_Central,1.578840186461705e-08
cat__Connection_Date_2022-08-30 00:00:00,1.5242350768447233e-08
cat__Developer_Nate Williams (DSD Renewables),1.5199387582864177e-08
cat__Circuit_ID_33R37,1.5035185433985723e-08
cat__Circuit_ID_36_20_51457,1.4719654898876554e-08
cat__Connection_Date_2021-12-28 00:00:00,1.4639676690636423e-08
cat__Circuit_ID_6051,1.4598655208292176e-08
cat__Connection_Date_2021-03-17 00:00:00,1.45264221251167e-08
cat__Substation_NYS-FALLS PARK 640,1.4490450484854345e-08
cat__City_Garden City,1.4269376838439859e-08
cat__Connection_Date_2021-06-15 00:00:00,1.4259967756504444e-08
cat__County_Oneida,1.4097233339512805e-08
cat__City_Chester,1.4016729350787858e-08
cat__City_Melville,1.3973371023741e-08
